,Symbol,Code,Name,BeginDate,EndDate,Type,Exchange,MinTick,Multiplier,begindate,enddate
3092,S.CN.SZSE.002061,002061,浙江交科,2006-08-16,2200-01-01,STOCK,,,,2006-08-16,2200-01-01
3093,S.CN.SZSE.002062,002062,宏润建设,2006-08-16,2200-01-01,STOCK,,,,2006-08-16,2200-01-01
3094,S.CN.SZSE.002063,002063,远光软件,2006-08-23,2200-01-01,STOCK,,,,2006-08-23,2200-01-01
3095,S.CN.SZSE.002064,002064,华峰化学,2006-08-23,2200-01-01,STOCK,,,,2006-08-23,2200-01-01
3096,S.CN.SZSE.002065,002065,东华软件,2006-08-23,2200-01-01,STOCK,,,,2006-08-23,2200-01-01
3097,S.CN.SZSE.002066,002066,瑞泰科技,2006-08-23,2200-01-01,STOCK,,,,2006-08-23,2200-01-01
3098,S.CN.SZSE.002067,002067,景兴纸业,2006-09-15,2200-01-01,STOCK,,,,2006-09-15,2200-01-01
3099,S.CN.SZSE.002068,002068,黑猫股份,2006-09-15,2200-01-01,STOCK,,,,2006-09-15,2200-01-01
3100,S.CN.SZSE.002069,002069,獐子岛,2006-09-28,2200-01-01,STOCK,,,,2006-09-28,2200-01-01
3101,S.CN.SZSE.002070,002070,众和退,2006-10-12,2019-07-09,STOCK,,,,2006-10-12,2019-07-09
3102,S.CN.SZSE.002071,002071,长城退,2006-10-12,2021-05-06,STOCK,,,,2006-10-12,2021-05-06
3104,S.CN.SZSE.002073,002073,软控股份,2006-10-18,2200-01-01,STOCK,,,,2006-10-18,2200-01-01
3105,S.CN.SZSE.002074,002074,国轩高科,2006-10-18,2200-01-01,STOCK,,,,2006-10-18,2200-01-01
3106,S.CN.SZSE.002075,002075,沙钢股份,2006-10-25,2200-01-01,STOCK,,,,2006-10-25,2200-01-01
3108,S.CN.SZSE.002077,002077,大港股份,2006-11-16,2200-01-01,STOCK,,,,2006-11-16,2200-01-01
3109,S.CN.SZSE.002078,002078,太阳纸业,2006-11-16,2200-01-01,STOCK,,,,2006-11-16,2200-01-01
3110,S.CN.SZSE.002079,002079,苏州固锝,2006-11-16,2200-01-01,STOCK,,,,2006-11-16,2200-01-01
3111,S.CN.SZSE.002080,002080,中材科技,2006-11-20,2200-01-01,STOCK,,,,2006-11-20,2200-01-01
3112,S.CN.SZSE.002081,002081,金螳螂,2006-11-20,2200-01-01,STOCK,,,,2006-11-20,2200-01-01
3113,S.CN.SZSE.002082,002082,万邦德,2006-11-20,2200-01-01,STOCK,,,,2006-11-20,2200-01-01
3114,S.CN.SZSE.002083,002083,孚日股份,2006-11-24,2200-01-01,STOCK,,,,2006-11-24,2200-01-01
3115,S.CN.SZSE.002084,002084,海鸥住工,2006-11-24,2200-01-01,STOCK,,,,2006-11-24,2200-01-01
3116,S.CN.SZSE.002085,002085,万丰奥威,2006-11-28,2200-01-01,STOCK,,,,2006-11-28,2200-01-01
3118,S.CN.SZSE.002087,002087,新野纺织,2006-11-30,2200-01-01,STOCK,,,,2006-11-30,2200-01-01
3119,S.CN.SZSE.002088,002088,鲁阳节能,2006-11-30,2200-01-01,STOCK,,,,2006-11-30,2200-01-01
3121,S.CN.SZSE.002090,002090,金智科技,2006-12-08,2200-01-01,STOCK,,,,2006-12-08,2200-01-01
3122,S.CN.SZSE.002091,002091,江苏国泰,2006-12-08,2200-01-01,STOCK,,,,2006-12-08,2200-01-01
3123,S.CN.SZSE.002092,002092,中泰化学,2006-12-08,2200-01-01,STOCK,,,,2006-12-08,2200-01-01
